*{1,1} 02.06 *{1,1} [192.168.255.129] *{1,1} FCT-1011-0-CCS *{1,1} 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: *{1,1}
Support: 179

55 60 65 144 147 330 338 479 499 672 675 696 699 766 770 781 882 885 994 998 1066 1069 1124 1127 1222 1233 1238 1241 1254 1332 1335 1427 1431 1486 1496 1597 1600 1683 1687 1795 1798 1808 1815 1827 1915 2001 3794 3805 4226 4245 4532 4535 4638 4641 4656 4663 4669 4892 4896 5009 5012 5071 5074 5138 5141 5228 5231 5235 5306 5310 5315 5318 5397 5400 5467 5476 5536 5564 5623 5630 5734 5738 5749 5754 5757 5819 5822 5824 5881 5892 5956 5961 6009 6022 6107 6111 6114 6203 6206 6211 6214 6287 6290 6347 6366 6446 6459 6546 6567 6570 6621 6636 6713 6716 6721 6724 6770 6775 6822 6901 7715 7727 10247 10250 10253 10327 10330 10396 10429 10434 10437 10514 10534 10679 10690 11036 11048 11075 11294 11322 11487 11499 11648 11667 11677 11686 11849 11860 12182 12192 12205 13625 13719 13814 13817 13874 13887 14044 14053 14509 15258 17752 17876 18025 18162 19152 21093 21250 21536 21557 21780 21792 21844 21855 21860 21863 21867 22310 22481 
005138 02.06 14:23:20.434 [192.168.255.129] 9e FCT-1011-0-CCS <2019-06-02T06:23:23.174184Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
005141 02.06 14:23:20.527 [192.168.255.129] a1 FCT-1011-0-CCS <2019-06-02T06:23:23.259330Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
005228 02.06 14:23:21.463 [192.168.255.129] d5 FCT-1011-0-CCS <2019-06-02T06:23:24.193531Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
005231 02.06 14:23:21.541 [192.168.255.129] d8 FCT-1011-0-CCS <2019-06-02T06:23:24.277542Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
005235 02.06 14:23:21.682 [192.168.255.129] db FCT-1011-0-CCS <2019-06-02T06:23:24.407799Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|SATELLITE|PACKET}
005306 02.06 14:23:22.431 [192.168.255.129] fe FCT-1011-0-CCS <2019-06-02T06:23:25.173258Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
005310 02.06 14:23:22.524 [192.168.255.129] 02 FCT-1011-0-CCS <2019-06-02T06:23:25.255827Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|LATLON|ALTITUDE|MODE|PACKET|REPORT}
005315 02.06 14:23:22.571 [192.168.255.129] 07 FCT-1011-0-CCS <2019-06-02T06:23:25.305490Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|PACKET}
005318 02.06 14:23:22.602 [192.168.255.129] 0a FCT-1011-0-CCS <2019-06-02T06:23:25.328836Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|PACKET}
005397 02.06 14:23:23.445 [192.168.255.129] 38 FCT-1011-0-CCS <2019-06-02T06:23:26.175113Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: Changed mask: {ONLINE|TIME|PACKET}
